,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
76,2020-03-14,ORDER,Paradox,Mirage,16,4,1,2,4,1,12,3,5236,2340282,55,112,2,1,1,97.22395151194291,1.0,1.0,-3,-57,1.0,1
77,2020-03-14,EGOBOYZ,Infamous,Inferno,16,9,1,2,5,5,11,4,5244,2340429,226,267,1,2,2,0.0,0.0,0.0,0,-41,0.5,0
78,2020-03-14,Triumph,Chaos,Nuke,16,8,1,1,9,6,7,2,5151,2340045,50,43,16,8,1,-58.94768967923392,-1.0,-1.0,-4,7,0.5,1
79,2020-03-14,Bad News Bears,Triumph,Inferno,16,10,1,2,5,6,11,4,5151,2340311,33,50,16,10,1,22.443443329818137,-0.19999999999999996,-0.19999999999999996,4,-17,0.5,1
80,2020-03-14,Chaos,TeamOne,Inferno,16,3,1,2,3,1,13,2,5151,2340022,43,126,16,3,1,-31.461979062660703,-0.19999999999999996,-0.19999999999999996,0,-83,0.5,1
81,2020-03-14,TeamOne,Rugratz,Overpass,11,16,2,2,5,7,6,9,5151,2340309,126,85,11,16,2,52.174565531345024,0.33333333333333337,0.33333333333333337,2,41,0.5,0
82,2020-03-14,EGOBOYZ,Infamous,Overpass,8,16,2,2,2,7,6,9,5244,2340429,226,267,1,2,2,-32.0,-1.0,-1.0,0,-41,0.0,0
83,2020-03-14,Imperial,Reapers,Mirage,16,11,1,2,6,6,10,5,5245,2340431,130,241,2,0,1,0.0,0.0,0.0,0,-111,0.5,1
84,2020-03-14,EGOBOYZ,Infamous,Mirage,18,22,2,2,7,8,8,7,5244,2340429,226,267,1,2,2,-61.06099694204886,-1.0,-1.0,0,-41,0.0,0
85,2020-03-14,Imperial,Reapers,Train,16,10,1,1,10,5,6,5,5245,2340431,130,241,2,0,1,32.0,1.0,1.0,0,-111,1.0,1
86,2020-03-14,Supremacy,Infamous,Mirage,16,12,1,2,8,5,8,7,5244,2340433,212,267,2,0,1,-43.74713363361093,-1.0,-1.0,-3,-55,0.5,1
87,2020-03-14,Chaos,MIBR,Train,16,6,1,1,9,6,7,0,5242,2340340,43,25,2,0,1,57.70373015473979,0.8333333333333334,0.8333333333333334,6,18,0.5,1
88,2020-03-14,Mythic,Station7,Dust2,14,16,2,2,3,12,11,4,5151,2340434,58,133,14,16,2,0.13315800320810922,0.33333333333333337,0.33333333333333337,-2,-75,0.5,0
89,2020-03-14,Chaos,MIBR,Nuke,16,14,1,2,8,7,8,7,5242,2340340,43,25,2,0,1,84.43735417429025,0.8571428571428571,0.8571428571428571,6,18,1.0,1
90,2020-03-14,Gen.G,Envy,Train,19,17,1,1,5,10,10,5,5242,2340339,15,51,2,1,1,0.0,0.0,0.0,0,-36,0.5,1
91,2020-03-14,Gen.G,Envy,Inferno,13,16,2,2,3,11,10,5,5242,2340339,15,51,2,1,1,32.0,1.0,1.0,0,-36,1.0,1
92,2020-03-14,Gen.G,Envy,Mirage,16,9,1,1,9,6,7,3,5242,2340339,15,51,2,1,1,61.06099694204886,1.0,1.0,0,-36,1.0,1
93,2020-03-14,Supremacy,Infamous,Dust2,16,1,1,1,14,1,2,0,5244,2340433,212,267,2,0,1,-7.7390334150584295,0.25,0.25,-3,-55,1.0,1
94,2020-03-13,Bad News Bears,Oceanus,Mirage,16,4,1,1,11,4,5,0,5151,2340304,33,121,16,4,1,86.62245259146925,0.8333333333333334,0.8333333333333334,4,-88,0.5,1
95,2020-03-13,District 7,Divine,Mirage,22,20,1,1,7,8,8,7,5151,2340303,93,109,22,20,1,-45.76868688860077,0.0,0.0,3,-16,0.5,1
96,2020-03-13,Swole Patrol,Under 21,Nuke,16,8,1,2,4,5,12,3,5151,2340301,81,80,16,8,1,-20.726633974057222,-0.6666666666666666,-0.6666666666666666,-3,1,0.5,1
97,2020-03-13,Swole Identity,Big Frames,Inferno,25,22,1,2,6,9,9,6,5151,2340041,79,92,25,22,1,-5.3908759402538635,0.0,0.0,0,-13,0.5,1
98,2020-03-13,TeamOne,Mythic,Overpass,4,16,2,2,1,4,3,12,5151,2340295,126,58,4,16,2,35.89715327652107,0.2142857142857143,0.2142857142857143,5,68,0.5,0
99,2020-03-13,Thunder Logic,Rugratz,Mirage,11,16,2,2,3,9,8,7,5151,2340385,160,85,11,16,2,-17.36774288287552,-0.09999999999999998,-0.09999999999999998,1,75,0.5,0
100,2020-03-13,Triumph,In The Lab,Inferno,16,7,1,2,6,2,10,5,5151,2340302,50,124,16,7,1,35.57047928215775,0.5,0.5,0,-74,0.5,1
101,2020-03-13,Swole Identity,Bad News Bears,Dust2,9,16,2,2,6,4,3,12,5151,2340297,79,33,9,16,2,-84.55778416592557,-0.5238095238095237,-0.5238095238095237,-4,46,0.5,0
102,2020-03-13,Under 21,Mythic,Mirage,22,19,1,1,10,5,5,10,5151,2340299,80,58,22,19,1,-13.867867542397562,-0.16666666666666663,-0.16666666666666663,1,22,0.5,1
103,2020-03-13,Divine,Station7,Mirage,13,16,2,2,4,10,9,6,5151,2340296,109,133,13,16,2,-49.968591937878045,-0.75,-0.75,-3,-24,0.5,0
104,2020-03-13,Chaos,New England Whalers,Nuke,16,10,1,1,9,6,7,4,5151,2339764,43,178,16,10,1,116.56534507104743,0.625,0.625,4,-135,0.5,1
105,2020-03-13,District 7,Swole Patrol,Nuke,12,16,2,1,9,6,3,10,5151,2340298,93,81,12,16,2,-44.62643517604624,-0.75,-0.75,3,12,0.5,0
106,2020-03-13,Divine,Big Frames,Overpass,16,11,1,2,5,7,11,4,5151,2340307,109,92,16,11,1,11.661423328337378,0.0,0.0,-1,17,0.5,1
107,2020-03-13,Triumph,Monstars,Overpass,16,4,1,1,13,2,3,2,5151,2340300,50,119,16,4,1,33.352324818852594,0.6666666666666666,0.6666666666666666,2,-69,0.5,1
108,2020-03-13,Chaos,Thunder Logic,Nuke,16,12,1,1,9,6,7,6,5151,2340306,43,160,16,12,1,106.16403716694685,0.4603174603174603,0.4603174603174603,2,-117,0.5,1
109,2020-03-13,Reapers,Neverest,Vertigo,17,19,2,2,4,11,11,4,5245,2340389,241,206,2,1,1,-30.53049847102443,0.0,0.0,2,35,0.5,1
110,2020-03-13,New England Whalers,TeamOne,Nuke,16,12,1,2,4,9,12,3,5151,2340043,178,126,16,12,1,-62.376956276134706,-0.425,-0.425,-3,52,0.5,1
111,2020-03-13,MAD Lions,HAVU,Train,10,16,2,1,6,9,4,7,5242,2340335,12,30,1,2,2,0.0,0.0,0.0,0,-18,0.5,0
112,2020-03-13,District 7,Mythic,Mirage,16,11,1,2,6,6,10,5,5151,2340305,93,58,16,11,1,-42.6320091304101,-0.3,-0.3,1,35,0.5,1
113,2020-03-13,Reapers,Neverest,Mirage,16,10,1,2,8,3,8,7,5245,2340389,241,206,2,1,1,4.274248825787481,0.3333333333333333,0.3333333333333333,2,35,1.0,1
114,2020-03-13,Reapers,Neverest,Inferno,16,10,1,1,10,5,6,5,5245,2340389,241,206,2,1,1,35.880595819658765,0.5,0.5,2,35,1.0,1
115,2020-03-13,Copenhagen Flames,c0ntact,Nuke,16,19,2,2,9,6,6,9,5242,2340336,31,26,0,2,2,0.0,0.0,0.0,0,5,0.5,0
116,2020-03-13,MAD Lions,HAVU,Nuke,13,16,2,1,11,4,2,12,5242,2340335,12,30,1,2,2,-32.0,-1.0,-1.0,0,-18,0.0,0
117,2020-03-13,MAD Lions,HAVU,Mirage,16,12,1,2,7,6,9,6,5242,2340335,12,30,1,2,2,-61.06099694204886,-1.0,-1.0,0,-18,0.0,0
118,2020-03-13,Copenhagen Flames,c0ntact,Mirage,5,16,2,1,4,11,1,5,5242,2340336,31,26,0,2,2,-32.0,-1.0,-1.0,0,5,0.0,0
119,2020-03-13,pro100,Sprout,Train,16,12,1,1,10,5,6,7,5150,2339721,35,38,16,12,1,-61.06099694204886,-1.0,-1.0,0,-3,0.5,1
120,2020-03-13,Spirit,Demolition Crew,Nuke,16,9,1,2,10,0,6,9,5150,2340333,27,99,16,9,1,30.53049847102443,1.0,1.0,2,-72,0.5,1
121,2020-03-13,Singularity,Unicorns of Love,Nuke,16,7,1,2,7,1,9,6,5150,2340332,65,106,16,7,1,-66.83124562040007,0.0,0.0,5,-41,0.5,1
122,2020-03-13,Spirit,pro100,Mirage,16,8,1,1,10,5,6,3,5150,2340330,27,35,16,8,1,56.8752584562294,0.6666666666666667,0.6666666666666667,0,-8,0.5,1
123,2020-03-13,TeamOne,In The Lab,Dust2,16,5,1,1,12,3,4,2,5151,2340308,126,124,16,5,1,45.61874368549729,0.5555555555555556,0.5555555555555556,6,2,0.5,1
